Name,GameGrin,Wired UK,Vgames,CD-Action,PLAY! Zine,Nintendo Force Magazine,App Trigger,RPGamer,LEVEL (Czech Republic),Vooks,Post Arcade (National Post),GameOver.gr,GameSpew,Games.cz,GRYOnline.pl,Universo Nintendo,Impulsegamer,GameCritics,Nintendo Enthusiast,Twinfinite,TrueGaming,ZTGD,Areajugones,Critical Hit,Pocket Gamer UK,Digitally Downloaded,New York Daily News,M3,The Sydney Morning Herald,Let's Play Video Games,Digital Spy,Cubed3,Atomix,Forbes,DualShockers,Yahoo!,Cheat Code Central,The Daily Dot,Trusted Reviews,GamesBeat,COGconnected,The Digital Fix,Telegraph,IBTimes UK,Digital Chumps,SpazioGames,Meristation,Game Revolution,USgamer,Game Rant,GamingTrend,Giant Bomb,Guardian,Game Informer,Polygon,GamesRadar+,RPG Site,Nintendo Life,3DJuegos,FNintendo,Gamer.nl,GameSpot,God is a Geek,IGN,Metro GameCentral,Stevivor,Time,Attack of the Fanboy,Destructoid,Edge Magazine,GameCrate,LevelUp,Wccftech,XGN,The Games Machine,IGN Spain,Hobby Consolas,Multiplayer.it,Games Master UK,Switch Player,RPG Fan,IGN Italia,NintendoWorldReport,NZGamer,JeuxActu,EGM,CGMagazine,Vandal,GamePro Germany,Game World Navigator Magazine,InsideGamer.nl,4Players.de,games(TM),DarkStation,Hardcore Gamer,Arcade Sushi,Washington Post,VideoGamer,Everyeye.it,Shacknews,Gameblog.fr,Easy Allies,TheSixthAxis,We Got This Covered,Eurogamer Italy,New Game Network,The Jimquisition,Gamer.no,Slant Magazine,Ars Technica,Eurogamer,Glixel,Kotaku,Mashable,The Verge,Vice,Wired,IGN Japan,FANDOM,Gameplanet,DarkZero,Gaming Age,GameSpace,AusGamers,Game Over Online,Power Unlimited,Merlin'in Kazanı (Turkey),Riot Pixels,Video Chums,Metro Montreal,Toronto Sun,Worth Playing,Digital Trends,CNET,The A.V. Club,Tired Old Hack,VG247,PC Games,SECTOR.sk,Nintenduo,Shindig,But Why Tho?,Noisy Pixel,The Mako Reactor,Pure Nintendo,Nintendojo,Gamezebo,Nintendo Insider,NME,TouchArcade,Nintenderos,Starbit,Pocket Tactics,Movies Games and Tech,VGC,Comicbook.com,GGRecon,PCMag,Dexerto,Eurogamer Germany,Gamereactor Finland,Gamereactor Spain,Screen Rant,GAMINGbible,Checkpoint Gaming,INVEN,Press Start Australia,Siliconera,TierraGamer,My Nintendo News,GameSkinny,GAMES.CH,Gamereactor UK,GamingBolt,IGN Adria,Jeuxvideo.com,TheGamer,WellPlayed,Gfinity,Player 2,Ninty Fresh Magazine,BaziCenter,Hey Poor Player,GameMAG,Daily Star,Cultured Vultures,Finger Guns,The Escapist,Gamersky,PlayGround.ru,Variety,The Indie Game Website,Gaming Nexus,Malditos Nerds,Carole Quintaine,MGG,MMORPG.com,British GQ,KeenGamer,Tech-Gaming,IGN Portugal,iMore,MGG Spain,Het Nieuwsblad,Launcher (The Washington Post),GameByte,IGN France,Softpedia,GamesHub,The Enemy,Oyungezer,Gamepressure,The Independent,GamersRD,Inverse,PlaySense,The Loadout,Gamers Heroes,IndieWire,Gamer Escape,NPR,Quarter to Three,Gamers' Temple,The So Videogames Podcast,T3,IGN Brasil,Buried Treasure,Gamereactor Sweden,Gamereactor Norway,Gamereactor Denmark,Eurogamer Poland,Strategy Gamer,UploadVR
blaster-master-zero-iii,,,,,,85.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,70,,,,,,,,,,,,,,80,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pokemon-sword,,,85.0,,70.0,80.0,,,,90,,80.0,80.0,,75.0,,,75.0,90.0,80,,,88,90.0,,100.0,,70.0,85.0,,,80.0,83.0,,75,,94.0,,80,,79.0,,,,,70,83,70.0,90,80.0,,,,88,...,90.0,60.0,80,80,,85,90,80,93,70,,,80.0,70,70.0,80,78.0,80,90.0,83,85.0,...,80,,60.0,,77.0,80,,70.0,80,90.0,80,91.0,78.0,70.0,82,,90.0,,,80.0,90,85,80,70.0,70.0,70,100.0,80,74.0,...,80.0,,...,...,,...,,...,,,88.0,,70.0,,91.0,,,,82.0,,,60.0,,,75.0,,,,,60,,,,,,,,95.0,,,,,,80,,,,,,,,,,,,80,70,,,70,,,75,,,,,,80.0,80.0,,,,,,,,60,,,,88.0,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capcom-arcade-stadium,,,,,,,80.0,,,,,,,,,,,70.0,70.0,,,80.0,,,,,,,,,,80.0,,,,,,,,,73.0,,,,,,85,,,,80.0,,,,,,,80,...,,,,,,90,,,80.0,70,,,,,80.0,78,,77,84,,,,83.0,...,,,,90.0,77,,,,80,,70.0,80.0,,,,,,,,,80.0,70,,,,,,,,,,,,,,,,,83.0,,,,,,,86.0,,,,,,,,,,,,90.0,,85.0,,,,,,,,80,,,,,,,,,,,,,,,,,,75.0,,80.0,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuser,,,,,,,,,,80,,,,,,,,,80.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,70,,,,,,,,,,,65,,,,,,,,,,,80.0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,83,,,,,,,90.0,,,,,,90,,,,,,,90.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olympia-soiree,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,75,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,65.0,,,,,,,90.0,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faeria,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,80.0,,,85,,,,,,,,,,,70.0,,,,,,,,,60,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blossom-tales-the-sleeping-king,,,,,,95.0,,,,,,,,,,,,,80.0,,,80.0,,,,,,,,,,80.0,,,,,,,,,,,,,,80,,,,,,,,80,,,,70,,70.0,,,,,,,,,80,,,,,,,,,,,80.0,,,85,,,,,,,,,,,,,,,,,,80.0,,80,,,,,,,,,,,,,,,,,,,,80.0,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atelier-ryza-2-lost-legends-the-secret-fairy,,,,,,80.0,,60.0,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,75,,,,,,,,,,,80.0,,,80,,,,75.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,80.0,,,80,,,88,90.0,90,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telling-lies,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,80,,80.0,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pokemon-lets-go-eevee!,75.0,,85.0,70.0,,85.0,80.0,,,,,,,50.0,,,80.0,40.0,70.0,90,70.0,,87,85.0,80.0,90.0,,,85.0,,,,84.0,80.0,,,90.0,80,80,...,83.0,90,80,,,73,80,60.0,80,,,,,85,...,90.0,80.0,80,85,70.0,70,80,90,83,,80,,60.0,75,70.0,73,80.0,88,,,,89,80,,100.0,80,,90,,75.0,85,90.0,84,,78.0,70.0,85,,80.0,80.0,,,,80,,80.0,75.0,80,70.0,80,68.0,...,,,...,...,,...,,...,,,,80.0,80.0,,,,,,,,,80.0,,,,90.0,,,,...,,,,,,,,,91.0,,80,,,,,,,,,,,,,,,90,,,,90,,,80,,,,,,75.0,,,,,,,,,,,,,82.0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crash-bandicoot-4-its-about-time,,,80.0,,,85.0,,,,70,,,,,,80.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,85.0,,,,,,,80,...,,,,85,,,,,,,,,70.0,,,,,78,,,90.0,,,75,,,,,85,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,85,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,,80,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,
alwas-legacy,,,,,,85.0,,,,,,,60.0,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,70,,,,,,,,,,,,,,,,,80.0,,,80,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,95.0,,,,,,78.0,,,,,,,,,,,,,,,,80.0,91.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaero-complete-edition,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,65,,,,,,88.0,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,90.0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario-party-superstars,,,85.0,,90.0,85.0,95.0,,80.0,80,,80.0,,90.0,,70.0,96.0,,85.0,70,,80.0,90,,,80.0,,80.0,,,80,90.0,85.0,,,,,,70,100,70.0,,,,,80,75,,,70.0,95.0,,,80,...,,,80,...,,,60,90,80,80,80,,80.0,80,,,85.0,80,85.0,80,,88,80,,80.0,,80.0,,,75.0,,80.0,75,84.0,83.0,,,,,80.0,,,,80,80,60.0,,80,,70,85.0,,70.0,,...,,,,,,,,,,,,,,,,60.0,77.0,,80.0,,,,80.0,,,,,,,,,85.0,,,85.0,,,90,,80.0,90,80.0,90,,,80,,60.0,85,,,,90,80,70.0,,75,,72.0,85,90.0,81.0,,,,75.0,70.0,75,80,75.0,,,80.0,70.0,100,,,,,,,,,,,80.0,,,70.0,,70.0,100.0,,60.0,90,,70.0,,,,,,,,,75.0,,,,,,,,,,,,,,,,,
skullgirls-2nd-encore,90.0,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,80.0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,80.0,,,,,,,,,,,,,,,,80,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heave-ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,85.0,,,,,75,,,,,,,,,,,,80,,,,,,,,,,80.0,80,,,,,,,,,,,80.0,,,90,,,,75.0,,,,,,,80.0,,,,,,,80.0,,70,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armello,,,,,,,,,,70,,,,,,,,,60.0,90,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,90,,60.0,,80,85,,,,,,,,,,,,,,,,,90.0,,,85,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,90,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
card-shark,,,85.0,,,75.0,,,,80,,90.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,85.0,,,,,,,,,,95.0,,,60,,,,90,,,,,90,,80,,,,,,,,,,,70.0,,,,80.0,,,85,,,,,82,,,,,,,,,,,,,,,90,,,,,,40.0,,...,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,70.0,,,,,,,85.0,,,90,100.0,90.0,,70.0,,100.0,,,,,80,,,,,,,,85,80.0,,,,,,,,80.0,,,80,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,60.0,,,,,75.0,,,,,,,,,,,,,,,,,,,
pac-man-championship-edition-2-plus,,,,,,,75.0,,,70,,80.0,,,,,,,,90,,,,,,60.0,,,,,,80.0,,,,,,,80,,70.0,,,,90.0,85,,,,,75.0,,,,,,,90,,80.0,,80,85,,80,,,,,,,,,,75,,80,85,,90.0,,82.0,70,,,,70.0,80,,,,,,80.0,,,,,85,,80.0,,,,80,,,,,,,,,,,,,,,,,75.0,,,,,,,79.0,,,,,,,,...,,,,,,,,,91.0,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hellblade-senuas-sacrifice,,,,,,,,,,,,,,,,,78.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,80,,,80,90,,60,,,,,,,,,,,80.0,91,82,,90.0,,,75,,,,,75,,,,90,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,80,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper-mario-the-origami-king,65.0,,85.0,85.0,60.0,85.0,65.0,80.0,100.0,90,75.0,,80.0,80.0,,95.0,60.0,,80.0,,,70.0,85,70.0,,80.0,80.0,80.0,75.0,,,60.0,90.0,,70,,90.0,,80,85,95.0,70,80,,,85,88,,80,,55.0,,80,78,...,90.0,80.0,80,90,,85,80,90,70,80,70,,80.0,80,80.0,80,80.0,75,65.0,91,85.0,90,88,,70.0,85,87.0,75,,,60,90.0,91,82.0,79.0,,88,,90.0,80.0,,,,84,70,90.0,75.0,70,80.0,80,67.0,,70.0,90.0,...,...,,...,,...,...,,80.0,,,,,,76.0,,85.0,70.0,,90.0,,,85.0,70.0,,,,80,,,,,,80.0,,90.0,75.0,,90,,,87,80.0,,,60,100,,60.0,,,,,90,80,,,80,60.0,,70,90.0,,,,,70.0,80.0,,,83.0,70,80.0,70.0,90.0,80,,,,80.0,,,,,85.0,80.0,,,,70.0,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
battle-chasers-nightwar,,,,,,,,,,70,,,,,,95.0,,,,,,,,,,,,,,,,80.0,,,,,,,80,,,,,,,80,75,,,,90.0,,,,,,,80,,,,80,70,,,,,,,,,,,,,83.0,,75,,80.0,,,85,,,,,,84.0,,,79,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,73.0,,,,,,,,,,,,,,,,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sam-max-beyond-time-and-space-remastered,85.0,,,,,90.0,,,,90,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,80.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sega-genesis-classics,,,,,,85.0,,,,70,,,80.0,,,,,,,,,,,70.0,,90.0,,,,,,80.0,,,,,,,,,,80,,,,,,,,,,,,,,,,80,,,,,50,,,,,,,,,,,,,,,75,,80.0,,,95,,,,,,,,,77,,,,,,,75,,80.0,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vvvvvv,,,,,,90.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,75,,,,,,,,,,,80,,,,,90,,,,,,,,,,,,,,,,,70.0,,,90,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taiko-no-tatsujin-rhythm-festival,,,,,,80.0,,,,80,,,70.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,85.0,,,,,78,,,,,80.0,,,,,,,70,,,,,,,,,,90.0,,,,,,,,,,85,,,,,65,,,80,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,80.0,,,,,,,,,90.0,,80.0,85.0,85.0,,,,,,80,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,
signs-of-the-sojourner,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if-found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,80,,,,,,,,,,,40.0,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minit,,,,,,90.0,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layers-of-fear-legacy,,,,,,,,,,,,,,,,92.0,,,,,,,75,,90.0,,,,,,,80.0,,,,,,,,,70.0,,,,,,,,,,,,,,,,,80,75,60.0,,,80,,,,,,,,,,70,80.0,,80.0,,75,,70.0,,80.0,80,,,,75.0,,,,,77,,,,,,,78,,90.0,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,86.0,,,,,,,,,,,,,,91.0,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wide-ocean-big-jacket,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,80.0,,,,,,...,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chess-ultra,,,,,,,,,,,,,,,,,70.0,,70.0,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80.0,,,,,,,,,,,,,,,,,,,,70.0,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indivisible,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,90,,,,,,,,,,,,,,,,70,,70.0,,,90,,,,,,,,,,,,,,85,82,,,,,80,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,80.0,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shantae-and-the-seven-sirens,,,,,,65.0,,,,,,,,,,80.0,,,,,,,,85.0,,,,,,,,50.0,85.0,,85,,,,,,,,,,,,,,,,,,,,,,,90,,80.0,,,,,,,,,,,,,,,,,82,,,90.0,,70.0,85,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,85.0,,,,,,80,,,,,80,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valfaris,,,,,,,,,,,,,80.0,,,,,,,,85.0,,,90.0,,,,,,,,90.0,,,,,,,,,,,,,,85,,,,,,,,,,,,60,,70.0,,,,,,,,,,,,,,,,,82,,,80.0,,,,,,,,82,,,,69,,,,,,,85,,,,,,,,,,,,,,,...,,,,,,,,91.0,,,,,,,90.0,,,80.0,,,,,,,,,,,,,80.0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voice-of-cards-the-forsaken-maiden,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,90.0,85.0,,,,,,,,,,,,,80,,,,,,,,,,,70.0,80,...,,,,,,,,,,,,,,,,,,,72,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,90.0,,80.0,80.0,,,,,,,80,,,,,,,,,,,,80,,80.0,,,70.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tormented-souls,,,,,,,,,,,,,80.0,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tangledeep,,,,,,,,,,,,,,,,,,85.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slayaway-camp-butchers-cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,80,,,,,,,,,,,,,,,,,70.0,,,90,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detention,,,,,,,,,,,,,,,,90.0,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,80.0,,,,,,,,,75,,,,,,,70.0,,90,,90.0,,,75,,,,,,,,,75,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonner,,,,,,90.0,,,,80,,,80.0,,,,,,70.0,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80.0,,,80,,70,,,,,,,,,,,,,,,88.0,,77.0,80,,,,,82,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
